,attributes,location
0,"{'orientation': {'score': 0.9967617392539978, 'name': '背面'}, 'gender': {'score': 0.9905166029930115, 'name': '女性'}, 'umbrella': {'score': 0.9996297359466553, 'name': '未打伞'}, 'lower_color': {'score': 0.9695471525192261, 'name': '黑'}, 'face_mask': {'score': 0.543491542339325, 'name': '不确定'}, 'smoke': {'score': 0.7371881604194641, 'name': '不确定'}, 'bag': {'score': 0.7367443442344666, 'name': '单肩包'}, 'upper_wear': {'score': 0.7747698426246643, 'name': '长袖'}, 'is_human': {'score': 0.9961351156234741, 'name': '正常人体'}, 'vehicle': {'score': 0.9984080195426941, 'name': '无交通工具'}, 'glasses': {'score': 0.8621203899383545, 'name': '不确定'}, 'headwear': {'score': 0.9801467061042786, 'name': '无帽'}, 'upper_wear_fg': {'score': 0.5611597895622253, 'name': '外套'}, 'upper_wear_texture': {'score': 0.9713243842124939, 'name': '图案'}, 'upper_cut': {'score': 0.9991363883018494, 'name': '无上方截断'}, 'occlusion': {'score': 0.9996932744979858, 'name': '无遮挡'}, 'lower_cut': {'score': 0.9804327487945557, 'name': '无下方截断'}, 'cellphone': {'score': 0.9999989867210388, 'name': '不确定'}, 'carrying_item': {'score': 0.5636676549911499, 'name': '无手提物'}, 'age': {'score': 0.8454618453979492, 'name': '青年'}, 'lower_wear': {'score': 0.9901267290115356, 'name': '长裤'}, 'upper_color': {'score': 0.9882522225379944, 'name': '红'}}","{'score': 0.9718030095100403, 'top': 1722, 'left': 1271, 'width': 249, 'height': 442}"
1,"{'orientation': {'score': 0.9981923699378967, 'name': '背面'}, 'gender': {'score': 0.9999160766601562, 'name': '男性'}, 'umbrella': {'score': 0.9999529123306274, 'name': '未打伞'}, 'lower_color': {'score': 0.9736063480377197, 'name': '黑'}, 'face_mask': {'score': 0.9999989867210388, 'name': '不确定'}, 'smoke': {'score': 0.9760459065437317, 'name': '不确定'}, 'bag': {'score': 0.9921220541000366, 'name': '无背包'}, 'upper_wear': {'score': 0.9935522079467773, 'name': '长袖'}, 'is_human': {'score': 0.9926249384880066, 'name': '正常人体'}, 'vehicle': {'score': 0.9999353885650635, 'name': '无交通工具'}, 'glasses': {'score': 0.8353960514068604, 'name': '不确定'}, 'headwear': {'score': 0.9847018122673035, 'name': '无帽'}, 'upper_wear_fg': {'score': 0.7220326066017151, 'name': '外套'}, 'upper_wear_texture': {'score': 0.987501859664917, 'name': '图案'}, 'upper_cut': {'score': 0.9605582356452942, 'name': '无上方截断'}, 'occlusion': {'score': 0.999639630317688, 'name': '无遮挡'}, 'lower_cut': {'score': 0.9832144975662231, 'name': '无下方截断'}, 'cellphone': {'score': 0.9999989867210388, 'name': '不确定'}, 'carrying_item': {'score': 0.8320550918579102, 'name': '不确定'}, 'age': {'score': 0.9811510443687439, 'name': '青年'}, 'lower_wear': {'score': 0.9880891442298889, 'name': '长裤'}, 'upper_color': {'score': 0.9971989393234253, 'name': '黑'}}","{'score': 0.9201467633247375, 'top': 501, 'left': 1576, 'width': 147, 'height': 356}"
2,"{'orientation': {'score': 0.9999086856842041, 'name': '正面'}, 'gender': {'score': 0.9940453767776489, 'name': '男性'}, 'umbrella': {'score': 0.9999973773956299, 'name': '未打伞'}, 'lower_color': {'score': 0.7410100698471069, 'name': '黑'}, 'face_mask': {'score': 0.8360645771026611, 'name': '戴口罩'}, 'smoke': {'score': 0.9960581064224243, 'name': '未吸烟'}, 'bag': {'score': 0.9628584980964661, 'name': '无背包'}, 'upper_wear': {'score': 0.9987313151359558, 'name': '长袖'}, 'is_human': {'score': 0.9993294477462769, 'name': '正常人体'}, 'vehicle': {'score': 0.9999600648880005, 'name': '无交通工具'}, 'glasses': {'score': 0.8602641820907593, 'name': '无眼镜'}, 'headwear': {'score': 0.9796774983406067, 'name': '无帽'}, 'upper_wear_fg': {'score': 0.5726330280303955, 'name': '外套'}, 'upper_wear_texture': {'score': 0.9745203852653503, 'name': '纯色'}, 'upper_cut': {'score': 0.993569016456604, 'name': '无上方截断'}, 'occlusion': {'score': 0.9998109936714172, 'name': '无遮挡'}, 'lower_cut': {'score': 0.9947283864021301, 'name': '无下方截断'}, 'cellphone': {'score': 0.9987844824790955, 'name': '未使用手机'}, 'carrying_item': {'score': 0.9803227186203003, 'name': '无手提物'}, 'age': {'score': 0.9967955946922302, 'name': '老年'}, 'lower_wear': {'score': 0.9997734427452087, 'name': '长裤'}, 'upper_color': {'score': 0.9528013467788696, 'name': '灰'}}","{'score': 0.9141861796379089, 'top': 70, 'left': 1625, 'width': 105, 'height': 269}"
3,"{'orientation': {'score': 0.999595582485199, 'name': '正面'}, 'gender': {'score': 0.9951423406600952, 'name': '女性'}, 'umbrella': {'score': 0.9997196793556213, 'name': '未打伞'}, 'lower_color': {'score': 0.921786367893219, 'name': '蓝'}, 'face_mask': {'score': 0.9975267052650452, 'name': '无口罩'}, 'smoke': {'score': 0.9952579140663147, 'name': '未吸烟'}, 'bag': {'score': 0.9935924410820007, 'name': '单肩包'}, 'upper_wear': {'score': 0.9803484082221985, 'name': '长袖'}, 'is_human': {'score': 0.9990264177322388, 'name': '正常人体'}, 'vehicle': {'score': 0.9998520612716675, 'name': '无交通工具'}, 'glasses': {'score': 0.9390968084335327, 'name': '戴眼镜'}, 'headwear': {'score': 0.9992759823799133, 'name': '无帽'}, 'upper_wear_fg': {'score': 0.3774149715900421, 'name': '衬衫'}, 'upper_wear_texture': {'score': 0.556621253490448, 'name': '纯色'}, 'upper_cut': {'score': 0.9967730641365051, 'name': '无上方截断'}, 'occlusion': {'score': 0.9999198913574219, 'name': '无遮挡'}, 'lower_cut': {'score': 0.990129292011261, 'name': '无下方截断'}, 'cellphone': {'score': 0.9999989867210388, 'name': '看手机'}, 'carrying_item': {'score': 0.9137364625930786, 'name': '有手提物'}, 'age': {'score': 0.9749383926391602, 'name': '青年'}, 'lower_wear': {'score': 0.9786196351051331, 'name': '长裤'}, 'upper_color': {'score': 0.7936490178108215, 'name': '紫'}}","{'score': 0.8986252546310425, 'top': 963, 'left': 1240, 'width': 196, 'height': 347}"
4,"{'orientation': {'score': 0.9948128461837769, 'name': '正面'}, 'gender': {'score': 0.6255705952644348, 'name': '男性'}, 'umbrella': {'score': 0.9998769760131836, 'name': '未打伞'}, 'lower_color': {'score': 0.6811823844909668, 'name': '白'}, 'face_mask': {'score': 0.9881189465522766, 'name': '无口罩'}, 'smoke': {'score': 0.9994747042655945, 'name': '未吸烟'}, 'bag': {'score': 0.9999989867210388, 'name': '单肩包'}, 'upper_wear': {'score': 0.9939956068992615, 'name': '长袖'}, 'is_human': {'score': 0.9993664622306824, 'name': '正常人体'}, 'vehicle': {'score': 0.9993597865104675, 'name': '无交通工具'}, 'glasses': {'score': 0.8056243658065796, 'name': '无眼镜'}, 'headwear': {'score': 0.7655036449432373, 'name': '无帽'}, 'upper_wear_fg': {'score': 0.3780733644962311, 'name': '夹克'}, 'upper_wear_texture': {'score': 0.7588012218475342, 'name': '纯色'}, 'upper_cut': {'score': 0.9950586557388306, 'name': '无上方截断'}, 'occlusion': {'score': 0.9600310325622559, 'name': '无遮挡'}, 'lower_cut': {'score': 0.9959309697151184, 'name': '无下方截断'}, 'cellphone': {'score': 0.9999989867210388, 'name': '看手机'}, 'carrying_item': {'score': 0.8825696110725403, 'name': '无手提物'}, 'age': {'score': 0.9724681973457336, 'name': '青年'}, 'lower_wear': {'score': 0.9999366998672485, 'name': '长裤'}, 'upper_color': {'score': 0.6629088521003723, 'name': '白'}}","{'score': 0.885870099067688, 'top': 1494, 'left': 815, 'width': 293, 'height': 496}"
5,"{'orientation': {'score': 0.9680960178375244, 'name': '背面'}, 'gender': {'score': 0.9964195489883423, 'name': '男性'}, 'umbrella': {'score': 0.999993085861206, 'name': '未打伞'}, 'lower_color': {'score': 0.8625539541244507, 'name': '黑'}, 'face_mask': {'score': 0.9999989867210388, 'name': '不确定'}, 'smoke': {'score': 0.9999989867210388, 'name': '不确定'}, 'bag': {'score': 0.9952210783958435, 'name': '无背包'}, 'upper_wear': {'score': 0.9892059564590454, 'name': '长袖'}, 'is_human': {'score': 0.9982582926750183, 'name': '正常人体'}, 'vehicle': {'score': 0.9995904564857483, 'name': '无交通工具'}, 'glasses': {'score': 0.7398816347122192, 'name': '无眼镜'}, 'headwear': {'score': 0.9980765581130981, 'name': '无帽'}, 'upper_wear_fg': {'score': 0.2469200789928436, 'name': 'T恤'}, 'upper_wear_texture': {'score': 0.9743056297302246, 'name': '纯色'}, 'upper_cut': {'score': 0.99305659532547, 'name': '无上方截断'}, 'occlusion': {'score': 0.9926365613937378, 'name': '无遮挡'}, 'lower_cut': {'score': 0.9856461882591248, 'name': '无下方截断'}, 'cellphone': {'score': 0.9999989867210388, 'name': '不确定'}, 'carrying_item': {'score': 0.8990716338157654, 'name': '无手提物'}, 'age': {'score': 0.4973783493041992, 'name': '中年'}, 'lower_wear': {'score': 0.9989274144172668, 'name': '长裤'}, 'upper_color': {'score': 0.9989176988601685, 'name': '黑'}}","{'score': 0.8575814366340637, 'top': 1825, 'left': 2055, 'width': 261, 'height': 539}"
6,"{'orientation': {'score': 0.98951655626297, 'name': '背面'}, 'gender': {'score': 0.9927082657814026, 'name': '女性'}, 'umbrella': {'score': 0.9997991919517517, 'name': '未打伞'}, 'lower_color': {'score': 0.7106449604034424, 'name': '黑'}, 'face_mask': {'score': 0.552507221698761, 'name': '不确定'}, 'smoke': {'score': 0.664612889289856, 'name': '不确定'}, 'bag': {'score': 0.8498390316963196, 'name': '单肩包'}, 'upper_wear': {'score': 0.9270782470703125, 'name': '长袖'}, 'is_human': {'score': 0.9975963234901428, 'name': '正常人体'}, 'vehicle': {'score': 0.999854564666748, 'name': '无交通工具'}, 'glasses': {'score': 0.9781339764595032, 'name': '不确定'}, 'headwear': {'score': 0.9992369413375854, 'name': '无帽'}, 'upper_wear_fg': {'score': 0.6855407953262329, 'name': '外套'}, 'upper_wear_texture': {'score': 0.986177921295166, 'name': '纯色'}, 'upper_cut': {'score': 0.9976083040237427, 'name': '无上方截断'}, 'occlusion': {'score': 0.999970555305481, 'name': '无遮挡'}, 'lower_cut': {'score': 0.9898867011070251, 'name': '无下方截断'}, 'cellphone': {'score': 0.9999989867210388, 'name': '不确定'}, 'carrying_item': {'score': 0.958168625831604, 'name': '无手提物'}, 'age': {'score': 0.9831042289733887, 'name': '青年'}, 'lower_wear': {'score': 0.6358578205108643, 'name': '不确定'}, 'upper_color': {'score': 0.5319462418556213, 'name': '粉'}}","{'score': 0.8506284356117249, 'top': 501, 'left': 1338, 'width': 137, 'height': 348}"
7,"{'orientation': {'score': 0.9973514080047607, 'name': '背面'}, 'gender': {'score': 0.7512953877449036, 'name': '男性'}, 'umbrella': {'score': 0.9999580383300781, 'name': '未打伞'}, 'lower_color': {'score': 0.9931492209434509, 'name': '黑'}, 'face_mask': {'score': 0.9999989867210388, 'name': '不确定'}, 'smoke': {'score': 0.8403739929199219, 'name': '不确定'}, 'bag': {'score': 0.9124348759651184, 'name': '无背包'}, 'upper_wear': {'score': 0.9919012188911438, 'name': '长袖'}, 'is_human': {'score': 0.9975741505622864, 'name': '正常人体'}, 'vehicle': {'score': 0.999929666519165, 'name': '无交通工具'}, 'glasses': {'score': 0.7832653522491455, 'name': '不确定'}, 'headwear': {'score': 0.9771929979324341, 'name': '无帽'}, 'upper_wear_fg': {'score': 0.3402609825134277, 'name': 'T恤'}, 'upper_wear_texture': {'score': 0.6534007787704468, 'name': '纯色'}, 'upper_cut': {'score': 0.9972290396690369, 'name': '无上方截断'}, 'occlusion': {'score': 0.9987782835960388, 'name': '无遮挡'}, 'lower_cut': {'score': 0.9313366413116455, 'name': '无下方截断'}, 'cellphone': {'score': 0.9999989867210388, 'name': '不确定'}, 'carrying_item': {'score': 0.6481480002403259, 'name': '无手提物'}, 'age': {'score': 0.7418465614318848, 'name': '青年'}, 'lower_wear': {'score': 0.9983672499656677, 'name': '长裤'}, 'upper_color': {'score': 0.9530609250068665, 'name': '黑'}}","{'score': 0.7508779168128967, 'top': 1686, 'left': 1859, 'width': 243, 'height': 420}"
8,"{'orientation': {'score': 0.7857714295387268, 'name': '正面'}, 'gender': {'score': 0.9833115339279175, 'name': '女性'}, 'umbrella': {'score': 0.9998201727867126, 'name': '未打伞'}, 'lower_color': {'score': 0.9815011620521545, 'name': '白'}, 'face_mask': {'score': 0.9998925924301147, 'name': '无口罩'}, 'smoke': {'score': 0.9359531402587891, 'name': '未吸烟'}, 'bag': {'score': 0.9616617560386658, 'name': '单肩包'}, 'upper_wear': {'score': 0.9594501852989197, 'name': '长袖'}, 'is_human': {'score': 0.998439610004425, 'name': '正常人体'}, 'vehicle': {'score': 0.9987911581993103, 'name': '无交通工具'}, 'glasses': {'score': 0.9946743249893188, 'name': '无眼镜'}, 'headwear': {'score': 0.9998394250869751, 'name': '无帽'}, 'upper_wear_fg': {'score': 0.325928658246994, 'name': '衬衫'}, 'upper_wear_texture': {'score': 0.9500918388366699, 'name': '纯色'}, 'upper_cut': {'score': 0.9941285848617554, 'name': '无上方截断'}, 'occlusion': {'score': 0.7274786233901978, 'name': '无遮挡'}, 'lower_cut': {'score': 0.6606253981590271, 'name': '无下方截断'}, 'cellphone': {'score': 0.9999989867210388, 'name': '看手机'}, 'carrying_item': {'score': 0.6738308072090149, 'name': '不确定'}, 'age': {'score': 0.9972186088562012, 'name': '青年'}, 'lower_wear': {'score': 0.6195541620254517, 'name': '长裤'}, 'upper_color': {'score': 0.9620491862297058, 'name': '白'}}","{'score': 0.3922750651836395, 'top': 1429, 'left': 739, 'width': 287, 'height': 414}"
9,"{'orientation': {'score': 0.9679821729660034, 'name': '正面'}, 'gender': {'score': 0.9553380012512207, 'name': '女性'}, 'umbrella': {'score': 0.9987384676933289, 'name': '未打伞'}, 'lower_color': {'score': 0.9989475607872009, 'name': '黑'}, 'face_mask': {'score': 0.9999989867210388, 'name': '不确定'}, 'smoke': {'score': 0.7996367812156677, 'name': '未吸烟'}, 'bag': {'score': 0.9999989867210388, 'name': '单肩包'}, 'upper_wear': {'score': 0.9280002117156982, 'name': '长袖'}, 'is_human': {'score': 0.9376154541969299, 'name': '正常人体'}, 'vehicle': {'score': 0.9987977743148804, 'name': '无交通工具'}, 'glasses': {'score': 0.9999989867210388, 'name': '戴眼镜'}, 'headwear': {'score': 0.9766442179679871, 'name': '无帽'}, 'upper_wear_fg': {'score': 0.6578709483146667, 'name': '外套'}, 'upper_wear_texture': {'score': 0.9264343976974487, 'name': '纯色'}, 'upper_cut': {'score': 0.7344703078269958, 'name': '有上方截断'}, 'occlusion': {'score': 0.5528877973556519, 'name': '无遮挡'}, 'lower_cut': {'score': 0.8403078317642212, 'name': '无下方截断'}, 'cellphone': {'score': 0.9999989867210388, 'name': '看手机'}, 'carrying_item': {'score': 0.5716323256492615, 'name': '无手提物'}, 'age': {'score': 0.9830440878868103, 'name': '青年'}, 'lower_wear': {'score': 0.9085321426391602, 'name': '长裤'}, 'upper_color': {'score': 0.6668570041656494, 'name': '灰'}}","{'score': 0.2857131659984589, 'top': 950, 'left': 1183, 'width': 143, 'height': 326}"
